powder,start,volume cc,auto disk,lee dipper,velocity,never exceed,velocity max,press,units,min oal,mm
90 grain leed bullet,,,,,,,,,,,
IMR TRAIL BOSS,3.5,,,,969,5.0,1121,10700,CUP,1.560,39.62
TITEGROUP,3.0,,,,850,4.0,1107,9000,CUP,1.560,39.62
CLAYS,2.7,,,,780,3.5,1106,12500,CUP,1.560,39.62
125 grain XTP,,,,,,,,,,,
WIN 296,21.0,,,,1881,22.0,1966,41400,CUP,1.590,40.39
H110,21.0,,,,1881,22.0,1966,41400,CUP,1.590,40.39
H4227,18.0,,,,1692,20.0,1839,42000,CUP,1.590,40.39
v-N110,16.8,,,,1601,18.4,1772,,,1.575,40.01
R ENFORCER,16.2,,,,1500,18.0,1667,32570,PSI,1.780,45.21
LONGSHORT,8.7,,,,1529,9.7,1647,42000,CUP,1.590,40.39
HS6,9.8,,,,1493,10.9,1629,42100,CUP,1.590,40.39
v-N350,9.6,,,,1496,10.2,1561,,,1.575,40.01
v-N340,8.6,,,,1444,9.3,1517,,,1.575,40.01
WIN 231,7.3,,,,1335,8.5,1514,42700,CUP,1.590,40.39
HP38,7.3,,,,1335,8.5,1514,42700,CUP,1.590,40.39
TITEGROUP,6.8,,,,1425,7.5,1497,41200,CUP,1.590,40.39
CFE PISTOL,6.9,,,,1340,8.0,1480,32500,PSI,1.590,40.39
