,powder1,powder2,fraction
0,v-3N37,v-N350,[[1.10606061]]
1,v-3N37,CFE PISTOL,[[1.12307692]]
2,v-3N37,v-N320,[[1.35185185]]
3,v-3N37,v-N340,[[1.17741935]]
4,v-3N37,R SILHOUETTE,[[1.15873016]]
5,v-3N37,WIN 244,[[1.46]]
6,v-3N37,R TRUE BLUE,[[1.23728814]]
7,v-3N37,HS6,[[1.04285714]]
8,v-3N37,IMR TARGET,[[1.65909091]]
9,v-3N37,WIN 572,[[1.23728814]]
10,v-3N37,UNIVERSAL,[[1.46]]
11,v-3N37,RAM ZIP,[[1.46]]
12,v-3N37,TITEGROUP,[[1.69767442]]
13,v-3N37,AUTOCOMP,[[1.25862069]]
14,v-3N37,HP38,[[1.58695652]]
15,v-3N37,WIN 231,[[1.58695652]]
16,v-3N37,SR7625,[[1.48979592]]
17,v-3N37,SR4756,[[1.32727273]]
18,v-3N37,IMR 700X,[[1.825]]
19,v-3N37,POWER PISTOL,[[1.25862069]]
20,v-3N37,CLAYS,[[1.825]]
21,v-3N37,IMR RED,[[1.825]]
22,v-3N37,UNIQUE,[[1.43137255]]
23,v-3N37,IMR PB,[[1.69767442]]
24,v-3N37,R COMPETITION,[[2.02777778]]
25,v-N350,CFE PISTOL,[[1.01538462]]
26,v-N350,v-N320,[[1.22222222]]
27,v-N350,v-N340,[[1.06451613]]
28,v-N350,R SILHOUETTE,[[1.04761905]]
29,v-N350,WIN 244,[[1.32]]
30,v-N350,R TRUE BLUE,[[1.11864407]]
31,v-N350,HS6,[[0.94285714]]
32,v-N350,IMR TARGET,[[1.5]]
33,v-N350,WIN 572,[[1.11864407]]
34,v-N350,UNIVERSAL,[[1.32]]
35,v-N350,RAM ZIP,[[1.32]]
36,v-N350,TITEGROUP,[[1.53488372]]
37,v-N350,AUTOCOMP,[[1.13793103]]
38,v-N350,HP38,[[1.43478261]]
39,v-N350,WIN 231,[[1.43478261]]
40,v-N350,SR7625,[[1.34693878]]
41,v-N350,SR4756,[[1.2]]
42,v-N350,IMR 700X,[[1.65]]
43,v-N350,POWER PISTOL,[[1.13793103]]
44,v-N350,CLAYS,[[1.65]]
45,v-N350,IMR RED,[[1.65]]
46,v-N350,UNIQUE,[[1.29411765]]
47,v-N350,IMR PB,[[1.53488372]]
48,v-N350,R COMPETITION,[[1.83333333]]
49,CFE PISTOL,v-N320,[[1.2037037]]
